id,Name,Latitude,Longitude
56,Dudley Square - Dudley St at Warren St,42.329842993518085,-71.08386572459494
79,Beacon St at Washington / Kirkland,42.37842,-71.105668
66,Allston Green District - Griggs St at Commonwealth Ave,42.34922469338298,-71.13275302578586
329,Washington St at Myrtle St,42.381699831636816,-71.08377588917392
386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663
110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025
42,Boylston St at Arlington St,42.352054773220544,-71.07048687257702
400,Big Papi Station,42.34734473177431,-71.1001680795016
57,Columbus Ave at Massachusetts Ave,42.340542615516355,-71.08138847914233
44,Congress St at North St,42.36041774637169,-71.05752243543975
21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118
420,Charles St at Pinckney St,42.35872530462163,-71.07079532006537
184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632
416,Blossom St at Charles St,42.36435589027983,-71.0695936904267
393,Ferry St at Pleasantview Ave,42.40914877754532,-71.04597684005057
396,Main St at Beacon St,42.41072713868097,-71.06266822675025
130,Upham's Corner,42.31727474327453,-71.06537003967787
387,Norman St at Kelvin St,42.40581171700586,-71.06708850720679
366,Broadway T Stop,42.34278116224413,-71.05747275072645
156,Somerville Hospital,42.39088801721338,-71.10962569713591
199,Upham's Corner T Stop - Magnolia St at Dudley St,42.318697341722434,-71.0697814822197
101,Ball Sq,42.39915588714573,-71.11102573591778
388,Main Street at Carter Street,42.40413,-71.0613
211,Piers Park,42.3648929326648,-71.03497177362442
162,Franklin Park - Seaver St at Humbolt Ave,42.309796,-71.092225
407,Craigie at Summer St,42.38828872616418,-71.11071459967206
422,Cummins at American Legion,42.278811581565975,-71.11687703062671
343,Morton St T,42.280725142920296,-71.08617242434775
1,18 Dorrance Warehouse,42.387151,-71.075978
308,BCBS Hingham,42.16722555541654,-70.90555783370291
435,Central Ave at River St,42.27094707029229,-71.07337901405117
317,BCBS Quincy,42.27600498756665,-71.03924982267927
438,Mobile Temporary Station,42.359675363711105,-71.10160055174674
