id,Name,Number,District,Public,Total.docks,geometry,bikelanedist,tstopdist
9,Commonwealth Ave at Agganis Way,A32002,Boston,Yes,15,"c(231387.74649072, 900202.846400567)",8.30497350717378,22.5750205646433
189,Kendall T,M32004,Cambridge,Yes,23,"c(234189.788755976, 901408.434117158)",2.59611107212208,101.888891781425
46,Christian Science Plaza - Massachusetts Ave at Westland Ave,B32005,Boston,Yes,19,"c(234128.321038621, 899324.089527564)",12.7111170225871,127.771388780441
56,Dudley Square - Bolling Building,B32017,Boston,Yes,18,"c(234297.154682548, 897789.505531317)",46.1102972209678,19.5957690330284
124,Curtis Hall - South St at Centre St,E32001,Boston,Yes,15,"c(231706.104549811, 895468.164578583)",12.2524792823733,614.873457794539
151,Surface Rd at India St,A32013,Boston,Yes,19,"c(236893.510600984, 900947.490417338)",13.0199182774783,152.409232885757
26,Washington St at Waltham St,D32002,Boston,Yes,15,"c(235522.227254592, 899092.865041703)",134.993439348208,26.0914376033871
73,Harvard Square at Brattle St / Eliot St,M32017,Cambridge,Yes,15,"c(231224.600300089, 902594.625017824)",5.11706342881881,185.616425558099
79,Beacon St at Washington / Kirkland,NA,NA,NA,NA,"c(232475.312331817, 903176.68099113)",318.054880955106,1194.38115965234
358,Medford St at Charlestown BCYF,D32037,Boston,Yes,19,"c(236189.241244805, 903418.042674386)",178.77799399638,1083.32953296927
380,Mass Ave at Albany St,M32061,Cambridge,Yes,18,"c(233222.603829765, 901285.00014676)",10.3377858803866,741.466373782946
378,191 Beacon St,S32035,Somerville,Yes,19,"c(232217.550189515, 903386.915222818)",17.1250494333522,1087.85384757698
60,Charles Circle - Charles St at Cambridge St,D32016,Boston,Yes,19,"c(235351.609036193, 901165.052369323)",81.1598880996801,110.569547320642
68,Central Square at Mass Ave / Essex St,M32011,Cambridge,Yes,19,"c(232693.699221465, 901694.799158961)",3.60028776897071,72.5037392505895
352,Ring Rd,C32058,Boston,Yes,15,"c(234568.718206106, 899838.594773977)",145.725127098442,272.52600672935
37,New Balance - 20 Guest St,D32001,Boston,Yes,15,"c(229102.919177071, 900819.179393353)",123.291945197309,1105.17320766162
87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,M32014,Cambridge,Yes,15,"c(231777.436872508, 901862.877373948)",73.8983930177624,865.742062115121
70,Harvard Kennedy School at Bennett St / Eliot St,M32016,Cambridge,Yes,23,"c(231143.173884535, 902481.60839222)",6.25439249109967,317.101985713578
374,Tremont St at Hamilton Pl,B32056,Boston,Yes,19,"c(236111.447847682, 900779.959544604)",65.6199799133078,75.1869139794868
63,Dorchester Ave at Gillette Park,C32009,Boston,Yes,15,"c(236472.173170288, 899377.480875238)",139.338157954237,162.929454964503
328,Grove St at Community Path,S32019,Somerville,Yes,15,"c(231276.805396464, 905166.969780569)",15.3463973784124,179.26861484696
69,Coolidge Corner - Beacon St at Centre St,K32001,Brookline,Yes,19,"c(231038.166096644, 899080.075096562)",963.616443649439,179.133172058129
116,359 Broadway - Broadway at Fayette Street,M32026,Cambridge,Yes,23,"c(232582.673723047, 902331.094512019)",145.481659071425,597.670365447678
49,Stuart St at Charles St,D32011,Boston,Yes,18,"c(235733.757543421, 900162.950703257)",9.45423135734839,250.411369824645
342,Boylston St at Jersey St,B32034,Boston,Yes,15,"c(233180.104207506, 899428.938874398)",227.601491921827,504.557722460907
67,MIT at Mass Ave / Amherst St,M32006,Cambridge,Yes,27,"c(233513.039354893, 900924.445355008)",11.8243855418109,750.2735282197
134,Boylston St at Dartmouth St,D32055,Boston,Yes,0,"c(234888.757691587, 900077.284727006)",75.7323593844725,130.173765100643
61,Boylston St at Fairfield St,C32008,Boston,Yes,19,"c(234409.068755523, 899891.530153896)",187.930644005315,346.562796502215
22,South Station - 700 Atlantic Ave,A32010,Boston,Yes,47,"c(236618.195074669, 900281.802899247)",10.5400491474276,53.8447200541226
55,Boylston St at Massachusetts Ave,B32018,Boston,Yes,15,"c(233939.818575578, 899722.964889302)",4.90545178384023,102.025335874774
66,Commonwealth Ave at Griggs St,A32017,Boston,Yes,15,"c(230258.6949758, 899923.829780909)",3.34793080944493,140.205785334272
329,Washington St at Myrtle St,NA,NA,NA,NA,"c(234276.451000978, 903549.557908156)",239.311986696161,633.18735814593
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,M32012,Cambridge,Yes,17,"c(232495.72153363, 901844.502615387)",3.96900599727314,175.827939122135
91,One Kendall Square at Hampshire St / Portland St,M32002,Cambridge,Yes,19,"c(233632.922132579, 901833.30373476)",4.22833944253388,623.809716301091
344,Commonwealth Ave at Chiswick Rd,D32033,Boston,Yes,19,"c(228702.655946422, 898920.022909785)",6.10638128801251,73.416123490458
386,Sennott Park Broadway at Norfolk Street,M32063,Cambridge,Yes,19,"c(233004.715340828, 902088.941526099)",3.19352493351722,512.287893498338
381,Inman Square at Springfield St.,M32062,Cambridge,Yes,19,"c(232931.232260266, 902730.500594609)",81.3056645824775,1038.40431616822
16,Back Bay T Stop - Dartmouth St at Stuart St,C32003,Boston,Yes,19,"c(234888.386921817, 899817.485422605)",17.6192568251956,133.513147502602
41,Packard's Corner - Commonwealth Ave at Brighton Ave,A32012,Boston,Yes,27,"c(230992.31815539, 900264.292466674)",8.02762869332691,126.461589375364
20,Aquarium T Stop - 200 Atlantic Ave,B32004,Boston,Yes,23,"c(236952.885325395, 901142.940415648)",39.5541216989071,60.6526658518969
192,Purchase St at Pearl St,A32026,Boston,Yes,19,"c(236811.681148435, 900558.731849631)",7.02755348929779,282.066358194047
